"STATISTIC","Statistic","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Age Last Birthday","C02786V03355","At Each Year of Age","UNIT","VALUE"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","-","All ages","22","Population","Number","4588252"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","-","All ages","23","Population at or under this age","Number","4588252"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","-","All ages","24","Population at or over this age","Number","4588252"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","200","Under 1 year","22","Population","Number","72410"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","200","Under 1 year","23","Population at or under this age","Number","72410"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","200","Under 1 year","24","Population at or over this age","Number","4588252"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","001","1 year","22","Population","Number","72645"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","001","1 year","23","Population at or under this age","Number","145055"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","001","1 year","24","Population at or over this age","Number","4515842"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","002","2 years","22","Population","Number","72566"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","002","2 years","23","Population at or under this age","Number","217621"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","002","2 years","24","Population at or over this age","Number","4443197"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","003","3 years","22","Population","Number","71457"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","003","3 years","23","Population at or under this age","Number","289078"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","003","3 years","24","Population at or over this age","Number","4370631"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","004","4 years","22","Population","Number","67251"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","004","4 years","23","Population at or under this age","Number","356329"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","004","4 years","24","Population at or over this age","Number","4299174"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","005","5 years","22","Population","Number","64937"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","005","5 years","23","Population at or under this age","Number","421266"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","005","5 years","24","Population at or over this age","Number","4231923"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","006","6 years","22","Population","Number","64976"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","006","6 years","23","Population at or under this age","Number","486242"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","006","6 years","24","Population at or over this age","Number","4166986"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","007","7 years","22","Population","Number","64441"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","007","7 years","23","Population at or under this age","Number","550683"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","007","7 years","24","Population at or over this age","Number","4102010"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","008","8 years","22","Population","Number","63816"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","008","8 years","23","Population at or under this age","Number","614499"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","008","8 years","24","Population at or over this age","Number","4037569"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","009","9 years","22","Population","Number","62600"
