,Gender,Age,Height (cm),BMI Category,Weight (KG)
0,Male,37,173.02,Overweight,81.655
1,Male,19,171.25,Underweight,46.499
2,Female,26,171.39,Normal weight,54.44
3,Male,51,180.32,Obese,141.961
4,Female,22,173.0,Normal weight,68.189
5,Female,33,171.95,Normal weight,65.887
6,Male,30,176.69,Overweight,87.207
7,Female,50,158.36,Obese,98.317
8,Male,35,171.27,Normal weight,72.052
9,Female,22,181.37,Normal weight,72.39
10,Male,35,185.13,Overweight,99.508
11,Male,33,182.48,Normal weight,69.56
12,Female,49,162.01,Normal weight,58.75
13,Male,33,176.89,Obese,108.021
14,Female,48,161.97,Normal weight,59.993
15,Female,41,162.13,Normal weight,57.341
16,Female,58,146.34,Normal weight,48.301
17,Female,50,164.12,Overweight,76.576
18,Female,36,161.69,Normal weight,52.336
19,Female,39,166.79,Underweight,45.369
20,Male,39,179.78,Normal weight,59.895
21,Female,57,171.07,Normal weight,59.355
22,Female,25,164.49,Overweight,71.671
23,Male,37,183.93,Normal weight,78.505
24,Male,41,160.19,Overweight,66.214
25,Male,37,170.51,Overweight,86.245
26,Male,44,190.5,Obese,155.107
27,Female,40,155.34,Normal weight,59.692
28,Female,36,162.47,Normal weight,55.729
29,Male,48,183.3,Normal weight,74.51
30,Male,33,172.06,Overweight,84.19
31,Female,44,170.08,Underweight,53.236
32,Male,50,168.2,Normal weight,65.972
33,Male,24,164.77,Obese,113.219
34,Male,33,168.9,Overweight,79.001
35,Male,61,166.61,Normal weight,58.248
36,Female,62,164.46,Obese,108.777
37,Male,64,176.05,Overweight,88.044
38,Female,20,167.09,Normal weight,69.438
39,Female,54,156.73,Normal weight,48.432
40,Male,61,196.28,Overweight,99.574
41,Male,59,177.62,Obese,121.882
42,Male,49,177.98,Normal weight,59.089
43,Female,47,168.05,Overweight,71.197
44,Male,49,176.58,Normal weight,66.043
45,Male,43,173.84,Overweight,88.077
46,Male,53,178.91,Normal weight,77.283
47,Male,40,184.8,Overweight,99.943
48,Female,29,169.65,Normal weight,54.144
49,Male,22,184.96,Overweight,89.214
50,Male,59,174.32,Overweight,88.431
51,Male,51,172.83,Obese,93.5
52,Female,27,179.81,Normal weight,66.22
53,Male,54,176.62,Normal weight,67.18
54,Female,32,168.23,Normal weight,55.987
55,Female,45,170.21,Normal weight,62.202
56,Male,34,188.36,Obese,114.588
57,Male,28,168.76,Obese,98.929
58,Male,26,174.92,Obese,130.464
59,Female,21,161.32,Overweight,74.419
60,Female,21,162.32,Overweight,78.129
61,Female,21,146.3,Obese,77.704
62,Male,22,177.64,Normal weight,61.595
63,Male,55,157.86,Overweight,65.154
64,Male,41,180.43,Normal weight,78.892
65,Female,24,168.7,Overweight,78.826
66,Female,41,169.16,Obese,108.396
67,Male,42,169.81,Overweight,81.972
68,Male,40,185.08,Overweight,89.208
69,Male,28,172.22,Normal weight,65.686
70,Female,37,155.31,Normal weight,59.0
71,Female,57,157.19,Normal weight,59.786
72,Male,35,172.34,Obese,116.513
73,Female,40,165.94,Normal weight,65.435
74,Male,60,184.17,Overweight,96.879
75,Female,29,148.68,Normal weight,44.078
76,Male,50,174.52,Obese,94.832
77,Male,39,184.72,Normal weight,80.486
78,Male,53,179.79,Obese,112.076
79,Male,35,181.95,Normal weight,76.049
80,Male,42,167.76,Overweight,79.484
81,Female,35,171.9,Normal weight,73.495
82,Male,57,167.31,Normal weight,63.281
83,Female,59,166.14,Normal weight,57.073
84,Male,45,188.02,Normal weight,84.361
85,Female,63,178.96,Overweight,85.364
86,Male,50,182.02,Overweight,90.469
87,Female,55,171.39,Overweight,76.925
88,Female,58,160.1,Normal weight,55.057
89,Female,31,161.05,Normal weight,48.225
90,Male,64,186.67,Overweight,90.722
91,Female,36,164.71,Obese,82.408
92,Female,40,163.73,Normal weight,60.569
93,Female,27,153.99,Normal weight,50.353
94,Female,54,165.84,Normal weight,55.681
95,Female,34,169.6,Normal weight,71.461
96,Female,48,158.67,Normal weight,48.505
97,Male,29,174.81,Obese,98.934
98,Female,34,176.7,Overweight,88.342
99,Male,36,179.66,Overweight,93.175
100,Male,29,176.36,Normal weight,58.294
101,Female,19,156.07,Normal weight,52.106
102,Male,52,174.02,Normal weight,71.968
103,Male,61,176.63,Normal weight,67.805
104,Male,29,188.08,Overweight,88.601
105,Female,26,160.07,Obese,90.633
106,Male,34,191.09,Overweight,94.225
107,Female,22,157.65,Normal weight,53.29
108,Male,46,175.87,Overweight,77.874
109,Female,35,171.1,Normal weight,63.464
110,Female,42,162.88,Obese,103.296
111,Female,59,158.4,Overweight,68.249
112,Female,56,163.7,Normal weight,66.69
113,Male,60,181.57,Overweight,98.8
114,Male,60,166.27,Overweight,81.781
115,Female,43,162.81,Overweight,77.158
116,Female,40,163.87,Obese,96.097
117,Female,19,161.64,Normal weight,64.293
118,Male,23,183.6,Normal weight,79.528
119,Female,41,160.38,Normal weight,55.763
120,Male,56,175.82,Normal weight,62.733
121,Male,37,178.67,Normal weight,79.085
122,Male,18,183.55,Overweight,92.06
123,Female,29,163.02,Overweight,77.674
124,Female,51,176.21,Overweight,79.618
125,Female,26,157.81,Normal weight,60.501
126,Female,28,174.46,Overweight,85.077
127,Female,32,158.19,Normal weight,48.523
128,Female,44,163.46,Normal weight,55.083
129,Female,55,167.46,Overweight,75.329
130,Female,29,180.3,Overweight,88.281
131,Male,44,184.73,Overweight,101.555
132,Male,41,175.53,Normal weight,69.754
133,Male,38,187.58,Overweight,91.134
134,Male,43,176.89,Obese,99.636
135,Male,54,172.8,Obese,98.211
136,Male,29,181.57,Overweight,88.939
137,Male,40,179.07,Overweight,90.34
138,Male,22,185.14,Normal weight,81.566
139,Female,40,160.53,Overweight,76.259
140,Female,53,167.6,Normal weight,60.079
141,Female,64,169.52,Obese,113.569
142,Female,39,166.81,Overweight,76.107
143,Female,32,164.48,Obese,81.474
144,Female,43,159.41,Obese,94.183
145,Male,35,184.79,Obese,127.2
146,Female,24,165.74,Obese,86.465
147,Male,41,181.91,Overweight,95.47
148,Male,53,175.92,Obese,116.666
149,Female,58,164.8,Normal weight,63.441
150,Male,63,171.07,Overweight,75.352
151,Female,35,165.35,Normal weight,59.5
152,Female,30,170.51,Normal weight,71.106
153,Male,23,179.06,Obese,132.373
154,Female,37,171.22,Obese,102.514
155,Male,54,180.61,Normal weight,75.804
156,Female,30,175.05,Obese,123.862
157,Female,56,163.26,Normal weight,49.772
158,Female,49,152.26,Overweight,59.696
159,Male,28,181.46,Normal weight,71.113
160,Female,45,163.45,Normal weight,65.623
161,Male,54,171.51,Normal weight,65.145
162,Male,60,183.0,Obese,134.168
163,Male,26,180.27,Normal weight,76.027
164,Male,54,181.55,Normal weight,63.204
165,Female,52,162.18,Underweight,43.854
166,Female,30,166.2,Overweight,78.323
167,Male,32,180.2,Overweight,90.642
168,Female,62,178.17,Obese,117.13
169,Male,35,173.56,Normal weight,60.623
170,Male,32,178.33,Overweight,89.24
171,Female,49,167.46,Normal weight,59.821
172,Male,24,166.21,Normal weight,64.175
173,Female,39,152.53,Obese,81.619
174,Female,34,181.14,Obese,108.135
175,Female,42,151.29,Obese,80.894
176,Female,44,169.06,Overweight,80.059
177,Female,46,158.26,Normal weight,55.873
178,Male,37,173.0,Normal weight,64.815
179,Female,58,149.65,Overweight,66.648
180,Male,55,172.03,Normal weight,55.684
181,Female,60,170.65,Overweight,77.317
182,Female,38,154.16,Overweight,62.449
183,Male,50,182.61,Overweight,85.464
184,Female,37,167.08,Overweight,80.558
185,Female,31,180.02,Obese,113.159
186,Male,46,175.05,Overweight,91.209
187,Female,61,174.29,Normal weight,72.59
188,Male,53,184.68,Overweight,101.741
189,Male,32,176.37,Overweight,84.847
190,Male,29,166.64,Overweight,74.437
191,Male,52,189.07,Normal weight,79.345
192,Female,49,154.34,Normal weight,51.893
193,Male,56,175.05,Overweight,82.64
194,Female,25,171.4,Normal weight,70.213
195,Female,56,173.17,Obese,100.525
196,Female,37,158.28,Overweight,67.358
197,Female,31,164.46,Overweight,68.357
198,Female,34,162.74,Obese,113.403
199,Female,64,173.67,Normal weight,68.366
200,Male,62,196.11,Normal weight,76.4
201,Female,22,150.81,Obese,93.92
202,Male,33,184.88,Overweight,96.055
203,Male,49,158.19,Obese,87.887
204,Male,19,178.5,Overweight,83.31
205,Male,19,170.56,Overweight,75.213
206,Male,20,192.48,Normal weight,84.029
207,Female,57,165.96,Normal weight,62.642
208,Male,34,173.19,Obese,118.311
209,Female,33,160.91,Normal weight,54.476
210,Female,53,160.33,Normal weight,60.358
211,Male,33,179.73,Obese,108.597
212,Male,50,177.28,Overweight,88.042
213,Male,35,183.04,Obese,134.835
214,Male,32,189.29,Normal weight,69.429
215,Male,36,183.36,Normal weight,66.266
216,Female,26,155.39,Overweight,61.426
217,Female,21,152.38,Overweight,67.167
218,Male,57,173.06,Normal weight,72.679
219,Male,57,185.85,Obese,105.832
220,Female,38,162.16,Overweight,66.104
221,Male,48,173.68,Overweight,76.635
222,Female,56,165.75,Overweight,69.742
223,Male,36,168.39,Normal weight,70.349
224,Female,49,156.05,Obese,97.625
225,Male,51,182.01,Obese,110.007
226,Female,22,162.4,Normal weight,54.313
227,Female,25,161.26,Obese,107.481
228,Female,51,167.11,Overweight,75.637
229,Female,49,160.26,Overweight,73.711
230,Female,27,159.49,Overweight,66.407
231,Male,55,175.15,Overweight,91.033
232,Female,53,169.27,Obese,89.286
233,Male,34,178.82,Normal weight,60.363
234,Male,34,169.95,Overweight,85.178
235,Male,23,176.26,Overweight,82.837
236,Male,38,182.98,Obese,112.571
237,Male,23,191.63,Overweight,108.063
238,Male,42,170.32,Obese,92.778
239,Female,45,167.27,Normal weight,59.178
240,Female,43,162.74,Obese,106.732
241,Female,21,170.97,Overweight,78.585
242,Female,45,168.11,Normal weight,62.983
243,Male,51,188.81,Obese,125.732
244,Female,25,168.64,Normal weight,52.794
245,Female,44,160.56,Normal weight,49.891
246,Female,54,160.61,Normal weight,60.73
247,Female,28,167.78,Normal weight,54.75
248,Male,59,181.19,Normal weight,81.069
249,Male,63,195.35,Overweight,101.061
250,Male,49,190.25,Obese,160.024
251,Female,57,155.79,Overweight,66.174
252,Female,31,167.36,Normal weight,58.646
253,Male,47,168.99,Obese,116.177
254,Female,60,152.13,Obese,70.579
255,Female,20,170.34,Normal weight,63.576
256,Female,54,168.89,Overweight,77.445
257,Female,30,156.82,Overweight,72.564
258,Female,53,177.18,Overweight,82.595
259,Female,46,157.28,Normal weight,50.55
260,Female,53,155.84,Overweight,67.848
261,Male,36,183.01,Overweight,100.043
262,Female,38,166.38,Normal weight,51.889
263,Female,60,163.48,Normal weight,58.266
264,Male,21,177.93,Obese,139.032
265,Female,26,166.4,Normal weight,67.169
266,Female,63,163.64,Normal weight,59.813
267,Male,59,177.18,Underweight,55.4
268,Male,25,165.0,Overweight,71.012
269,Female,63,154.51,Obese,74.693
270,Female,31,169.34,Normal weight,61.741
271,Female,58,159.35,Normal weight,52.88
272,Female,59,168.84,Obese,93.931
273,Male,19,187.13,Overweight,91.263
274,Female,18,162.01,Overweight,68.904
275,Female,33,166.85,Normal weight,61.034
276,Male,60,193.08,Normal weight,86.648
277,Male,53,183.31,Normal weight,80.453
278,Female,35,178.68,Overweight,81.879
279,Female,56,176.34,Overweight,78.769
280,Female,33,170.42,Normal weight,59.636
281,Female,34,163.85,Overweight,75.416
282,Male,27,172.45,Overweight,77.059
283,Male,62,170.54,Normal weight,66.784
284,Female,53,168.39,Normal weight,58.404
285,Male,38,181.71,Normal weight,62.072
286,Male,31,177.17,Obese,113.756
287,Male,62,184.4,Obese,114.391
288,Male,36,174.13,Overweight,79.677
289,Male,28,186.25,Obese,115.709
290,Female,37,165.0,Overweight,81.218
291,Female,49,164.42,Overweight,75.08
292,Female,52,164.7,Normal weight,59.528
293,Male,23,177.7,Underweight,43.32
294,Male,61,195.99,Normal weight,72.232
295,Male,47,167.01,Normal weight,59.235
296,Female,21,166.05,Obese,120.728
297,Male,55,187.2,Underweight,54.421
298,Female,63,170.15,Overweight,83.268
299,Female,55,162.41,Normal weight,48.922
300,Female,18,177.91,Normal weight,65.02
301,Male,39,170.85,Normal weight,58.184
302,Male,44,169.16,Overweight,74.71
303,Female,58,169.01,Normal weight,57.873
304,Female,40,153.66,Normal weight,46.723
305,Male,21,161.59,Overweight,77.511
306,Male,60,184.64,Obese,140.699
307,Female,61,170.48,Obese,127.371
308,Male,39,183.58,Overweight,95.91
309,Female,20,161.0,Normal weight,57.024
310,Female,55,166.09,Obese,103.762
311,Male,50,171.58,Overweight,83.287
312,Male,63,190.66,Overweight,92.606
313,Female,18,170.7,Normal weight,56.479
314,Female,37,170.33,Obese,119.279
315,Male,32,164.61,Overweight,68.7
316,Male,23,184.11,Normal weight,68.49
317,Male,50,188.96,Overweight,91.16
318,Female,34,173.93,Normal weight,59.526
319,Female,19,170.69,Normal weight,56.186
320,Female,25,164.69,Normal weight,64.835
